accel_x,accel_y,accel_z,timestamp
0.151031494140625,-0.214447021484375,-1.039459228515625,1554710800.228405
-0.039093017578125,-0.301666259765625,-0.956787109375,1554710800.429487
-0.0260162353515625,-0.42254638671875,-0.9735107421875,1554710800.630753
0.1305694580078125,-0.3041229248046875,-0.94329833984375,1554710800.832041
0.211700439453125,-0.2633514404296875,-0.9633941650390625,1554710801.033296
0.1433258056640625,-0.311737060546875,-0.9101715087890625,1554710801.2347841
0.20196533203125,-0.3632965087890625,-0.884429931640625,1554710801.435719
0.070831298828125,-0.42529296875,-0.99462890625,1554710801.637317
0.053436279296875,-0.3955535888671875,-1.0677337646484375,1554710801.838367
-0.0867156982421875,-0.3155670166015625,-0.8918304443359375,1554710802.03952
-0.0947723388671875,-0.3577728271484375,-0.933380126953125,1554710802.2405381
-0.1355133056640625,-0.3623046875,-0.9085845947265625,1554710802.441889
-0.0858612060546875,-0.39349365234375,-0.899932861328125,1554710802.643309
-0.00823974609375,-0.3968505859375,-0.916046142578125,1554710802.844805
0.00567626953125,-0.37939453125,-0.92791748046875,1554710803.045724
0.026611328125,-0.368682861328125,-0.93609619140625,1554710803.247021
0.0194549560546875,-0.35546875,-0.9361572265625,1554710803.44847
0.0110015869140625,-0.3500518798828125,-0.94573974609375,1554710803.649465
0.021514892578125,-0.3636474609375,-0.935455322265625,1554710803.850807
0.0021820068359375,-0.3598175048828125,-0.9287567138671875,1554710804.052052
0.0025177001953125,-0.3643798828125,-0.9290313720703125,1554710804.252917
0.00567626953125,-0.365936279296875,-0.941253662109375,1554710804.454139
0.00018310546875,-0.3702392578125,-0.918975830078125,1554710804.655555
0.00323486328125,-0.362030029296875,-0.9391021728515625,1554710804.856817
-0.00445556640625,-0.36602783203125,-0.930877685546875,1554710805.058182
0.0008392333984375,-0.3641510009765625,-0.928466796875,1554710805.259409
0.001739501953125,-0.3580780029296875,-0.9347686767578125,1554710805.460644
-0.0018768310546875,-0.3596954345703125,-0.9275360107421875,1554710805.662086
0.015411376953125,-0.3602294921875,-0.9210052490234375,1554710805.8635368
0.0060577392578125,-0.3592681884765625,-0.943145751953125,1554710806.064218
0.018463134765625,-0.36090087890625,-0.9389801025390625,1554710806.265784
