magneto_x,magneto_y,magneto_z,timestamp
62.7603759765625,-154.5716552734375,53.34162902832031,1554710800.2283711
64.16183471679688,-152.89791870117188,54.60804748535156,1554710800.455359
59.02204895019531,-151.00579833984375,50.971527099609375,1554710800.662493
52.858673095703125,-150.9110107421875,47.55647277832031,1554710800.8703752
53.3302001953125,-152.57913208007812,46.97804260253906,1554710801.0781798
54.05523681640625,-154.83639526367188,46.9390869140625,1554710801.285991
54.52992248535156,-153.9115753173828,47.176605224609375,1554710801.4941158
51.88121032714844,-155.01507568359375,46.503448486328125,1554710801.701498
48.79850769042969,-154.5279541015625,45.702972412109375,1554710801.909312
49.343017578125,-156.16197204589844,44.828094482421875,1554710802.1171122
50.21269226074219,-158.26348876953125,45.3233642578125,1554710802.3250098
51.806732177734375,-159.60069274902344,45.460296630859375,1554710802.532737
52.75486755371094,-159.31692504882812,46.212158203125,1554710802.740693
53.59886169433594,-158.02464294433594,46.05052185058594,1554710802.948446
53.81312561035156,-157.53680419921875,46.93731689453125,1554710803.156179
54.22587585449219,-156.8328399658203,46.89128112792969,1554710803.364202
54.47076416015625,-156.6016845703125,47.349761962890625,1554710803.571511
54.32057189941406,-156.67185974121094,47.10334777832031,1554710803.779337
54.632843017578125,-156.43942260742188,46.983734130859375,1554710803.987231
54.50834655761719,-156.607177734375,47.88975524902344,1554710804.194778
54.420318603515625,-156.89744567871094,47.501068115234375,1554710804.402693
54.33067321777344,-157.14805603027344,46.788970947265625,1554710804.610426
54.36003112792969,-156.9229736328125,46.857330322265625,1554710804.8183808
54.245849609375,-156.91270446777344,46.98701477050781,1554710805.026504
54.05621337890625,-156.65269470214844,46.8670654296875,1554710805.233964
54.2950439453125,-156.41656494140625,47.01585388183594,1554710805.4415178
54.051116943359375,-156.34996032714844,47.15763854980469,1554710805.649826
54.36100769042969,-156.47299194335938,46.8179931640625,1554710805.857223
54.30091857910156,-156.44642639160156,47.10791015625,1554710806.064412
54.211700439453125,-156.10301208496094,47.04957580566406,1554710806.272443
54.4208984375,-156.0027618408203,47.33827209472656,1554710806.480447
54.74041748046875,-156.1063232421875,47.34626770019531,1554710806.688267
54.60154724121094,-155.86361694335938,47.332733154296875,1554710806.895914
54.85150146484375,-155.87319946289062,47.378662109375,1554710807.103657
54.68133544921875,-156.34225463867188,47.2425537109375,1554710807.311384
54.870452880859375,-155.8946533203125,47.353118896484375,1554710807.518837
54.1416015625,-153.84547424316406,47.05670166015625,1554710807.7265801
53.274688720703125,-150.5150909423828,47.51850891113281,1554710807.934361
51.52734375,-152.2816619873047,46.27186584472656,1554710808.14217
53.442596435546875,-152.74530029296875,47.145751953125,1554710808.35037
54.7711181640625,-151.97621154785156,48.175262451171875,1554710808.5580192
55.76429748535156,-153.2449493408203,47.92234802246094,1554710808.766224
55.01597595214844,-154.12826538085938,47.8082275390625,1554710808.97338
55.77369689941406,-152.02919006347656,48.731048583984375,1554710809.181422
55.59571838378906,-153.18484497070312,48.13993835449219,1554710809.389358
54.68864440917969,-153.72900390625,47.691162109375,1554710809.5966458
55.092681884765625,-153.6496124267578,47.64994812011719,1554710809.804532
55.67828369140625,-153.28024291992188,48.548065185546875,1554710810.012391
55.55540466308594,-152.12326049804688,48.50663757324219,1554710810.219849
53.89306640625,-150.2747344970703,47.933807373046875,1554710810.427774
52.72944641113281,-149.5708465576172,47.60765075683594,1554710810.635709
55.449066162109375,-149.56813049316406,49.1429443359375,1554710810.843697
56.53013610839844,-151.26388549804688,49.4373779296875,1554710811.0513148
57.14825439453125,-153.40846252441406,48.93336486816406,1554710811.258974
56.744842529296875,-155.05691528320312,48.74467468261719,1554710811.4673228
55.58349609375,-155.7146759033203,47.8455810546875,1554710811.6741838
55.238922119140625,-155.28501892089844,47.87127685546875,1554710811.881985
56.64375305175781,-157.25872802734375,48.13645935058594,1554710812.089377
56.48248291015625,-157.56076049804688,48.10850524902344,1554710812.297071
57.687103271484375,-157.95689392089844,48.56367492675781,1554710812.504518
59.51922607421875,-159.3295440673828,49.886077880859375,1554710812.71272
60.61271667480469,-159.80227661132812,50.40107727050781,1554710812.9200292
60.17808532714844,-157.80874633789062,50.53257751464844,1554710813.1276321
58.66725158691406,-154.58592224121094,49.88880920410156,1554710813.335702
54.50531005859375,-151.6892547607422,47.84950256347656,1554710813.543143
50.47906494140625,-148.78854370117188,47.18052673339844,1554710813.750618
50.067657470703125,-147.3423614501953,47.519317626953125,1554710813.958118
50.72984313964844,-148.9389190673828,47.29725646972656,1554710814.166116
51.150238037109375,-150.0436248779297,46.912872314453125,1554710814.373829
55.56343078613281,-147.17825317382812,49.945465087890625,1554710814.5815048
54.05989074707031,-147.50462341308594,49.02717590332031,1554710814.789002
54.38386535644531,-148.8258056640625,48.768707275390625,1554710814.996787
56.44256591796875,-147.01776123046875,50.28733825683594,1554710815.204195
58.60017395019531,-147.29156494140625,51.335601806640625,1554710815.412226
57.269561767578125,-146.8565216064453,50.677398681640625,1554710815.619854
52.84571838378906,-149.9828643798828,47.71946716308594,1554710815.826867
46.71046447753906,-153.92092895507812,44.471038818359375,1554710816.035059
48.392730712890625,-155.60848999023438,45.000213623046875,1554710816.24271
